timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:58:11.654, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:11.755, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:11.855, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:11.956, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.056, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.157, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.257, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.358, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.458, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.559, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.659, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 923 MHz, 2505 MHz
2017/12/19 06:58:12.760, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:12.860, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:12.960, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.061, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.161, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.262, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.362, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.463, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.563, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.664, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.764, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.865, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:13.965, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.066, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.166, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.266, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.367, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.467, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.568, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.668, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.769, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.869, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:14.970, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.070, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.171, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.271, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.372, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.472, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.573, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.673, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.774, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:58:15.874, Tesla M60, 7613 MiB, 1109 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
