timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/01/18 08:49:43.531, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:43.631, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.732, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.832, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:43.933, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.033, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.133, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.234, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.334, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.435, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.535, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.636, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.736, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.836, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:44.937, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.037, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.138, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.238, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.339, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.439, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:45.539, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:45.640, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.740, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:45.841, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:45.941, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:46.042, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:46.142, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.242, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.343, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:46.443, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.544, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.644, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.745, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:46.845, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:46.945, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:47.046, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:47.146, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.247, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.347, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.448, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:47.548, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:47.648, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.749, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.849, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:47.950, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:48.050, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:48.151, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.251, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.352, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.452, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:48.552, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:48.653, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.753, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.854, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:48.954, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.055, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.155, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.255, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.356, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:49.456, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.557, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.657, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:49.758, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:49.858, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:49.959, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.059, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.159, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:50.260, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:50.360, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.461, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.561, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.662, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:50.762, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:50.862, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:50.963, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.063, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.164, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.264, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.365, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:51.465, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.565, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.666, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.766, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:51.867, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:51.967, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.068, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.168, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.269, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.369, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:52.469, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.570, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.670, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:52.771, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.871, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:52.972, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:53.072, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:53.172, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.273, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.373, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.474, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:53.574, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:53.674, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.775, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.875, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:53.976, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:54.076, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:54.177, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.277, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.378, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.478, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.578, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.679, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:54.779, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:54.880, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:54.980, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:55.081, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:55.181, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:55.281, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:55.382, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:55.482, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:55.583, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:55.683, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:55.784, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:55.884, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:55.984, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.085, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.185, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.286, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:56.386, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:56.487, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.587, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.687, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:56.788, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.888, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:56.989, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.089, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.190, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:57.290, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:57.390, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:57.491, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.591, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.692, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:57.792, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.893, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:57.993, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:58.093, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:58.194, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:58.294, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.395, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.495, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.596, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.696, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:58.797, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.897, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:58.997, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:59.098, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:59.198, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:59.299, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:59.399, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:49:59.500, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:59.600, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:59.700, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:59.801, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:49:59.901, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.002, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:00.102, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:00.203, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.303, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:00.403, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:00.504, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.604, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.705, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.805, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:00.906, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.006, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:01.107, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:01.207, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.307, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.408, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.508, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:01.609, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
2018/01/18 08:50:01.709, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.810, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:01.910, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.011, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.111, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.212, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.312, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.413, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.513, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.614, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.714, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.815, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:02.915, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.016, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.116, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.217, Tesla M60, 7613 MiB, 123 MiB, 84 %, 3 %
2018/01/18 08:50:03.317, Tesla M60, 7613 MiB, 123 MiB, 84 %, 4 %
