==15345== NVPROF is profiling process 15345, command: ./xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==15345== Profiling application: ./xhpcg-3.1_gcc_485_cuda90176_ompi_1_10_2_sm_35_sm_50_sm_60_sm_70_ver_10_8_17
==15345== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",0.000160,0.000102,35,0.002927,0.002624,0.004096,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::DrainAgent<long>, thrust::cuda_cub::cub::GridQueue<int>, long>(thrust::cuda_cub::__reduce::DrainAgent<long>, int)"
"GPU activities",0.000156,0.000100,3,0.033492,0.008096,0.082719,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<thrust::device_ptr<int>, int*, int, long, thrust::maximum<int>>, thrust::device_ptr<int>, int*, long, thrust::cuda_cub::cub::GridEvenShare<int>, thrust::cuda_cub::cub::GridQueue<int>, thrust::maximum<int>>(thrust::device_ptr<int>, int*, int, long, int, thrust::maximum<int>)"
"GPU activities",0.000128,0.000082,3,0.027381,0.004096,0.069503,"perm_f2c_kernel(int*, int*, int*, int*, int)"
"GPU activities",0.000080,0.000051,1,0.051135,0.051135,0.051135,"void thrust::cuda_cub::cub::DeviceRadixSortSingleTileKernel<thrust::cuda_cub::cub::DeviceRadixSortPolicy<int, int, int>::Policy620, bool=0, int, int, int>(int const *, thrust::cuda_cub::cub::DeviceRadixSortSingleTileKernel<thrust::cuda_cub::cub::DeviceRadixSortPolicy<int, int, int>::Policy620, bool=0, int, int, int>*, thrust::cuda_cub::cub::DeviceRadixSortPolicy<int, int, int>::Policy620 const *, thrust::cuda_cub::cub::DeviceRadixSortSingleTileKernel<thrust::cuda_cub::cub::DeviceRadixSortPolicy<int, int, int>::Policy620, bool=0, int, int, int>**, bool=0, int, int)"
"GPU activities",0.000026,0.000017,3,0.005610,0.005600,0.005632,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<int*, int*, int, long, thrust::maximum<int>>, int*, int*, int, thrust::maximum<int>, int>(int*, int, long, int, thrust::maximum<int>)"
"GPU activities",0.000013,0.000009,1,0.008608,0.008608,0.008608,"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__reduce::ReduceAgent<thrust::device_ptr<int>, int*, int, long, thrust::maximum<int>>, thrust::device_ptr<int>, int*, long, thrust::maximum<int>, int>(thrust::device_ptr<int>, int*, int, long, int)"
"API calls",84.550252,57.532937,17226,3.339889,0.005636,12.175534,"cudaEventSynchronize"
"API calls",4.228436,2.877275,13427,0.214290,0.003040,47.834407,"cudaDeviceSynchronize"
"API calls",3.228294,2.196720,1,2196.719767,2196.719767,2196.719767,"cudaEventCreate"
"API calls",2.372682,1.614512,241888,0.006674,0.005621,8.724065,"cudaLaunch"
"API calls",1.971919,1.341809,7806,0.171894,0.010278,167.956765,"cudaMemcpy"
"API calls",1.666005,1.133647,3940,0.287727,0.016958,3.891711,"cudaMemcpyAsync"
"API calls",0.823106,0.560089,1868496,0.000299,0.000000,0.517890,"cudaSetupArgument"
"API calls",0.584329,0.397612,100,3.976116,0.006483,387.879690,"cudaFree"
"API calls",0.128883,0.087700,32,2.740615,0.154996,4.839885,"cudaHostRegister"
"API calls",0.121451,0.082642,241888,0.000341,0.000011,0.500767,"cudaConfigureCall"
"API calls",0.105240,0.071611,7682,0.009321,0.004208,0.030989,"cudaMemset"
"API calls",0.079446,0.054060,21122,0.002559,0.000961,0.016598,"cudaEventRecord"
"API calls",0.043975,0.029923,24,1.246798,0.059867,2.897751,"cudaHostUnregister"
"API calls",0.024687,0.016799,146,0.115058,0.005895,3.131394,"cudaMalloc"
"API calls",0.024027,0.016349,3984,0.004103,0.002798,0.011777,"cudaFuncGetAttributes"
"API calls",0.019578,0.013322,3932,0.003388,0.002128,0.020056,"cudaStreamSynchronize"
"API calls",0.015100,0.010275,3896,0.002637,0.001758,0.503017,"cudaEventQuery"
"API calls",0.005539,0.003769,11820,0.000318,0.000206,0.002211,"cudaGetLastError"
"API calls",0.003035,0.002065,216,0.009561,0.008619,0.022992,"cudaMemcpy2D"
"API calls",0.002009,0.001367,9,0.151894,0.132329,0.168001,"cudaMemGetInfo"
"API calls",0.000371,0.000253,185,0.001366,0.000246,0.047160,"cuDeviceGetAttribute"
"API calls",0.000362,0.000246,2,0.123083,0.122096,0.124070,"cuDeviceTotalMem"
"API calls",0.000326,0.000222,2,0.110924,0.104393,0.117455,"cudaGetDeviceProperties"
"API calls",0.000210,0.000143,265,0.000539,0.000406,0.001770,"cudaGetDevice"
"API calls",0.000209,0.000142,273,0.000521,0.000397,0.001522,"cudaDeviceGetAttribute"
"API calls",0.000137,0.000093,274,0.000339,0.000271,0.000543,"cudaPeekAtLastError"
"API calls",0.000133,0.000091,106,0.000855,0.000624,0.001947,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.000094,0.000064,2,0.032122,0.018599,0.045646,"cudaStreamCreate"
"API calls",0.000072,0.000049,8,0.006141,0.002007,0.014692,"cudaPointerGetAttributes"
"API calls",0.000045,0.000031,2,0.015319,0.013558,0.017081,"cuDeviceGetName"
"API calls",0.000021,0.000014,16,0.000899,0.000630,0.002274,"cudaEventCreateWithFlags"
"API calls",0.000014,0.000010,1,0.009798,0.009798,0.009798,"cudaSetDevice"
"API calls",0.000004,0.000003,1,0.002722,0.002722,0.002722,"cudaDeviceSetSharedMemConfig"
"API calls",0.000004,0.000003,4,0.000661,0.000237,0.001574,"cuDeviceGetCount"
"API calls",0.000002,0.000002,3,0.000545,0.000347,0.000900,"cuDeviceGet"
"API calls",0.000001,0.000001,1,0.001015,0.001015,0.001015,"cudaGetDeviceCount"
"API calls",0.000001,0.000001,1,0.000613,0.000613,0.000613,"cuInit"
"API calls",0.000001,0.000000,1,0.000367,0.000367,0.000367,"cuDriverGetVersion"
