timestamp, name, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2017/12/19 06:47:04.122, Tesla M60, 7613 MiB, 7239 MiB, 6 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.222, Tesla M60, 7613 MiB, 7239 MiB, 6 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.323, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.423, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.523, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.624, Tesla M60, 7613 MiB, 7239 MiB, 10 %, 6 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.724, Tesla M60, 7613 MiB, 7239 MiB, 10 %, 6 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.824, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:04.925, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.025, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.125, Tesla M60, 7613 MiB, 7239 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.226, Tesla M60, 7613 MiB, 7240 MiB, 0 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.326, Tesla M60, 7613 MiB, 7259 MiB, 5 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.426, Tesla M60, 7613 MiB, 7280 MiB, 5 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.527, Tesla M60, 7613 MiB, 7295 MiB, 15 %, 3 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.627, Tesla M60, 7613 MiB, 7315 MiB, 10 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.727, Tesla M60, 7613 MiB, 7323 MiB, 10 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.828, Tesla M60, 7613 MiB, 7328 MiB, 7 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:05.928, Tesla M60, 7613 MiB, 7349 MiB, 7 %, 0 %, 556 MHz, 2505 MHz
2017/12/19 06:47:06.028, Tesla M60, 7613 MiB, 7356 MiB, 14 %, 1 %, 556 MHz, 2505 MHz
2017/12/19 06:47:06.129, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 71 %, 632 MHz, 2505 MHz
2017/12/19 06:47:06.229, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 71 %, 632 MHz, 2505 MHz
2017/12/19 06:47:06.329, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 79 %, 708 MHz, 2505 MHz
2017/12/19 06:47:06.429, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 79 %, 708 MHz, 2505 MHz
2017/12/19 06:47:06.530, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 67 %, 784 MHz, 2505 MHz
2017/12/19 06:47:06.630, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 873 MHz, 2505 MHz
2017/12/19 06:47:06.730, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 873 MHz, 2505 MHz
2017/12/19 06:47:06.831, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 94 %, 974 MHz, 2505 MHz
2017/12/19 06:47:06.931, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 94 %, 974 MHz, 2505 MHz
2017/12/19 06:47:07.031, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 82 %, 1075 MHz, 2505 MHz
2017/12/19 06:47:07.132, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 81 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.232, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 81 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.332, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.432, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.533, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.633, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.733, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.834, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:07.934, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.034, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.134, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 92 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.235, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 92 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.335, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.435, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 83 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.536, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.636, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.736, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.837, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:08.937, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.037, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.137, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.238, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.338, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.438, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.539, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 93 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.639, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 82 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.739, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 82 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.840, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:09.940, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.040, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.140, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.241, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 86 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.341, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 90 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.441, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 90 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.542, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.642, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.742, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.842, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 92 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:10.943, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 92 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.043, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 82 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.143, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 90 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.244, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 90 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.344, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.444, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 91 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.544, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 85 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.645, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.745, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 89 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.845, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:11.946, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 88 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:12.046, Tesla M60, 7613 MiB, 7356 MiB, 100 %, 87 %, 1177 MHz, 2505 MHz
2017/12/19 06:47:12.146, Tesla M60, 7613 MiB, 7356 MiB, 99 %, 92 %, 1177 MHz, 2505 MHz
